address,dialogue
c50000,"[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[END]"
c50198,"[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[END]"
c50330,"[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[END]"
c504c8,"[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[END]"
c50660,"[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[END]"
c507f8,"[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[END]"
c50990,"[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[END]"
c50a72,"[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[END]"
c50b54,"[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[END]"
c50c36,"[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[END]"
c50dce,"[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[END]"
c50f66,"[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[END]"
c510fe,"[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[END]"
c511e0,"[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[END]"
