npc_id,sprite_label,map_location_label,npc_type,flag_condition,sprite,x_tile,y_tile,x_pixel_abs,y_pixel_abs
1,monster_shark,Onett_Arcade_1F,person,~SHARK_GUARDING_FRANK_DEFEATED,284,244,21,7824,688
2,monster_shark,Onett_Arcade_1F,person,~SHARK_AT_ARCADE_ABSENT,284,246,23,7888,736
3,monster_shark,Onett_Arcade_1F,person,always,284,243,23,7784,752
4,monster_shark,Onett_Arcade_1F_2F,person,always,284,252,31,8088,992
5,monster_shark,Onett_Arcade_1F_2F,person,always,284,250,31,8008,1008
6,man_orange-hair_sunglasses,Onett_Arcade_1F_2F,person,always,117,251,29,8056,952
7,monster_shark,Onett_Arcade_1F_2F,person,~SHARK_AT_ARCADE_UPSTAIRS_DEFEATED,284,253,31,8104,1008
8,man_cane_green-jacket,Onett_Drug Store_1F,person,always,52,244,46,7833,1486
9,man_glasses_orange-cardigan,Onett_Drug Store_1F,person,always,64,246,46,7872,1480
10,man_blonde_i-love-ny-shirt,Onett_Drug Store_1F,person,always,114,241,47,7736,1528
11,ruffini,Onett_Drug Store_1F,person,always,130,242,46,7756,1480
12,atm-machine,Onett_Drug Store_1F,object,always,259,243,46,7784,1472
13,phone_payphone_left,Onett_Drug Store_1F,person,always,216,243,47,7800,1520
14,mom,Onett_Ness' House_1F,person,POLICE_AT_METEORITE,145,237,10,7584,344
15,mom,Onett_Ness' House_1F,person,~POLICE_AT_METEORITE,145,238,11,7640,360
16,king_sleeping,Onett_Ness' House_1F,person,~SLEEPING_KING_ABSENT,359,240,10,7684,336
17,pokey,Onett_Ness' House_1F,person,POKEY_WAITING_AT_DOOR,44,243,10,7792,336
18,king,Onett_Ness' House_1F,person,KING_AWAKE_AT_HOME,40,235,11,7540,368
19,pokey,Onett_Ness' House_1F,person,POKEY_WAITING_AT_COUCH,44,241,10,7722,332
20,tracy,Onett_Ness' House_1F,person,TRACY_DOWNSTAIRS,146,234,10,7512,336
21,phone_black,Onett_Ness' House_1F,person,always,215,239,9,7664,312
22,door_knocking,Onett_Ness' House_1F,object,NESS_HOUSE_DOOR_KNOCKING,350,243,10,7792,344
23,curtains_closed_ness-house,Onett_Ness' House_1F,object,~ONETT_DAYTIME,373,242,9,7753,317
24,curtains_closed_ness-house,Onett_Ness' House_1F,object,~ONETT_DAYTIME,373,236,10,7559,320
25,tracy,Onett_Ness' House_1F_2F,person,TRACY_AT_HALLWAY,146,234,31,7512,992
26,ness_sleeping_head,Onett_Ness' House_1F_2F_Ness'-Room,object,NESS_SLEEPING_AT_HIS_BED,378,253,34,8115,1088
27,animation_zzz_white,Onett_Ness' House_1F_2F_Ness'-Room,object,NESS_SLEEPING_AT_HIS_BED,384,254,33,8138,1061
28,curtains_closed_ness-house,Onett_Ness' House_1F_2F_Ness'-Room,object,~ONETT_DAYTIME,373,252,33,8080,1072
29,curtains_angled,Onett_Ness' House_1F_2F_Ness'-Room,object,~ONETT_DAYTIME,375,255,34,8176,1104
30,tracy,Onett_Ness' House_1F_2F_Tracy's-Room,person,~TRACY_NOT_AT_HER_ROOM,146,236,22,7568,728
31,curtains_closed_ness-house,Onett_Ness' House_1F_2F_Tracy's-Room,object,~ONETT_DAYTIME,373,236,21,7568,688
32,curtains_angled,Onett_Ness' House_1F_2F_Tracy's-Room,object,~ONETT_DAYTIME,375,232,22,7440,720
33,woman_pink-maid-outfit,Onett_Burger Shop_1F,person,always,142,236,14,7560,448
34,woman_purse_green-dress,Onett_Burger Shop_1F,person,always,58,233,14,7482,472
35,girl_blonde_ponytail,Onett_Burger Shop_1F,person,always,127,235,15,7520,488
36,frank,Onett_Burger Shop_1F,person,GIYGAS_DEFEATED,153,234,14,7512,448
37,woman_blonde_red-blazer,Onett_Burger Shop_1F,person,always,66,237,15,7584,488
38,frank,Onett_Burger Shop_1F,person,PARTY_IS_ROBOTIFIED,153,236,15,7552,494
