filename,size_x,size_y,x0,y0,x1,y1,hierarchy_level
Winters_Stonehenge Base_B1F_B2F_B3F_B4F_B5F_B6F_B7F_Exit-Mouse_Blackout-Room_Capsules_Boss-Room,256,256,7936,4608,8192,4864,12
Scaraba_Pyramid_Entryway_Stairs_Room_Stairs_Sarcophagus-Room_Hawk-Eye-Room_Stairs_Hole-Room_Room_Exit-Hall,768,256,5888,3328,6656,3584,11
Winters_Stonehenge Base_B1F_B2F_B3F_B4F_B5F_B6F_B7F_Exit-Mouse_Blackout-Room_Capsules,256,128,7680,6016,7936,6144,11
Scaraba_Pyramid_Entryway_Stairs_Room_Stairs_Sarcophagus-Room_Hawk-Eye-Room_Stairs_Hole-Room_Room,192,128,4096,6016,4288,6144,10
Scaraba_Pyramid_Entryway_Stairs_Room_Stairs_Sarcophagus-Room_NE-Stairs_Room_Stairs_Plate-Room,256,128,4096,5248,4352,5376,10
Winters_Stonehenge Base_B1F_B2F_B3F_B4F_B5F_B6F_B7F_Exit-Mouse_Blackout-Room,512,512,6400,4096,6912,4608,10
Scaraba_Pyramid_Entryway_Stairs_Room_Stairs_Sarcophagus-Room_Hawk-Eye-Room_Stairs_Hole-Room,192,128,4096,5760,4288,5888,9
Scaraba_Pyramid_Entryway_Stairs_Room_Stairs_Sarcophagus-Room_NE-Stairs_Room_Stairs,768,512,3584,8448,4352,8960,9
Winters_Stonehenge Base_B1F_B2F_B3F_B4F_B5F_B6F_B7F_Exit-Mouse,256,128,6656,5760,6912,5888,9
Fourside_Monotoli_L3_Left_Up_Left_Right_Left_Left-(Monotoli),512,256,5376,5888,5888,6144,8
Fourside_Monotoli_L3_Left_Up_Left_Right_Left_Left-(to-Roof),256,128,5376,4096,5632,4224,8
Scaraba_Pyramid_Entryway_Stairs_Room_Stairs_Sarcophagus-Room_Hawk-Eye-Room_Stairs,384,256,5120,3328,5504,3584,8
Scaraba_Pyramid_Entryway_Stairs_Room_Stairs_Sarcophagus-Room_NE-Stairs_Room,256,128,4096,4992,4352,5120,8
Scaraba_Pyramid_Entryway_Stairs_Room_Stairs_Sarcophagus-Room_NW-Stairs_Room,128,128,4096,4736,4224,4864,8
Winters_Stonehenge Base_B1F_B2F_B3F_B4F_B5F_B6F_B7F,1280,1024,6144,3584,7424,4608,8
Fourside_Monotoli_L3_Left_Up_Left_Right_Left-(Clumsy-Robot),256,128,5888,5888,6144,6016,7
