entity_id,type,subtype,label,region,x_pixel,y_pixel,visibility_condition,visibility_flag_label,gating_flag_label,direction,movement,door_kind
npc_0210,npc,person,king_flashback,Cutscenes_Flashback_1F,1672,8824,flag_cleared,PARTY_IS_ROBOTIFIED,,right,699,
npc_0211,npc,person,crib,Cutscenes_Flashback_1F_2F_Ness'-Room,6016,2144,always,,,down,694,
npc_1110,npc,person,girl_dalaamese,Dalaam,4392,3472,flag_set,PARTY_IS_ROBOTIFIED,,up,8,
npc_1111,npc,person,girl_dalaamese,Dalaam,4592,3568,flag_set,PARTY_IS_ROBOTIFIED,,left,8,
npc_1113,npc,object,dalaam-spire,Dalaam,4504,3464,always,,,down,8,
npc_1114,npc,object,dalaam-spire,Dalaam,4544,3416,always,,,down,8,
npc_1115,npc,object,dalaam-spire,Dalaam,4632,3464,always,,,down,882,
npc_1116,npc,object,dalaam-spire,Dalaam,4672,3416,always,,,down,8,
npc_1093,npc,person,entertainers-shack-door,Dalaam_Palace_1F_Throne-Room,6848,8272,always,,,down,881,
npc_1231,npc,person,invisible_7,Deep-Darkness,6016,7960,flag_cleared,USED_HAWK_EYE,,down,8,
npc_1237,npc,person,entertainers-shack-door,Deep-Darkness,5168,7720,always,,,down,891,
npc_0777,npc,person,entertainers-shack-door,Dusty-Dunes-Desert,3728,9592,flag_set,DESERT_MINE_EXPANDED,,down,875,
npc_0785,npc,object,taxi,Dusty-Dunes-Desert,1952,10000,flag_cleared,TRAFFIC_JAM_CLEARED,,right,8,
npc_0786,npc,object,red-truck_duplicate,Dusty-Dunes-Desert,1880,10000,flag_cleared,TRAFFIC_JAM_CLEARED,,down,8,
npc_0787,npc,object,van_duplicate,Dusty-Dunes-Desert,1876,10092,flag_cleared,TRAFFIC_JAM_CLEARED,,down,8,
npc_0789,npc,object,red-truck,Dusty-Dunes-Desert,2000,10040,flag_cleared,TRAFFIC_JAM_CLEARED,,down,8,
npc_0793,npc,object,backhoe,Dusty-Dunes-Desert,3616,9696,flag_cleared,DESERT_MINE_BULLDOZER_MOVED,,down,8,
npc_0796,npc,object,backhoe,Dusty-Dunes-Desert,3736,9696,flag_set,DESERT_MINE_BULLDOZER_MOVED,,down,8,
npc_0971,npc,person,entertainers-shack-door,Fourside,3536,3960,always,,,down,879,
npc_0973,npc,object,bench,Fourside,2504,5040,always,,,down,8,
npc_0974,npc,object,bench,Fourside,3016,4008,always,,,down,8,
npc_0975,npc,object,lamppost,Fourside,2976,3952,always,,,down,8,
npc_0976,npc,object,lamppost,Fourside,3112,3960,always,,,down,8,
npc_0977,npc,object,lamppost,Fourside,2888,4040,always,,,down,8,
npc_0978,npc,object,lamppost,Fourside,3232,4080,always,,,down,8,
npc_0979,npc,object,lamppost,Fourside,3000,4232,always,,,down,8,
npc_0980,npc,object,lamppost,Fourside,3208,4352,always,,,down,8,
npc_0981,npc,object,lamppost,Fourside,3288,4272,always,,,down,877,
npc_0982,npc,object,streetsign_city,Fourside,3048,3744,always,,,down,8,
npc_0983,npc,object,streetsign_city,Fourside,2760,4032,always,,,down,8,
npc_0984,npc,object,streetsign_city,Fourside,3400,4216,always,,,down,8,
npc_0985,npc,object,streetsign_city,Fourside,3112,4504,always,,,down,8,
npc_0986,npc,object,streetsign_city,Fourside,2768,4856,always,,,down,8,
npc_0987,npc,object,magnet-hill,Fourside,3856,4136,always,,,down,10,
npc_0988,npc,object,open-can,Fourside,3512,3456,always,,,down,8,
npc_0989,npc,object,helicopter_body,Fourside,3387,3793,flag_cleared,POKEY_FLIES_AWAY_BY_HELICOPTER,,down,711,
npc_0990,npc,object,helicopter_blades,Fourside,3463,3759,flag_cleared,POKEY_FLIES_AWAY_BY_HELICOPTER,,down,8,
npc_0991,npc,object,helicopter_tail,Fourside,3480,3808,flag_cleared,POKEY_FLIES_AWAY_BY_HELICOPTER,,down,8,
npc_0992,npc,object,manhole,Fourside,3419,3755,flag_cleared,POKEY_FLIES_AWAY_BY_HELICOPTER,,down,704,
